question,answer,confidence_level,relevant_sources,reasoning_summary,retrieval_metrics,performance_metrics,used_existing_vectordb
AI伺服器2022到2024的出貨量,"根據DIGITIMES資料，2022年至2024年全球AI伺服器出貨量如下：

1. 2022年：高階AI伺服器97,500台（9萬7千5百台），一般AI伺服器343,800台（34萬3千8百台），合計441,300台（44萬1千3百台）。
2. 2023年：高階AI伺服器345,600台（34萬5千6百台），一般AI伺服器469,800台（46萬9千8百台），合計815,400台（81萬5千4百台）。
3. 2024年：高階AI伺服器774,600台（77萬4千6百台），一般AI伺服器659,000台（65萬9千台），合計1,433,600台（143萬3千6百台）。",high,['Document 1 (Slide 4)'],2022至2024年全球AI伺服器出貨量數據來自文件1，數據完整且可信。高階AI伺服器與一般AI伺服器出貨量逐年增加，2024年合計達1433.6千台（143萬3千6百台）。,"{'avg_score': 0.6465, 'max_score': 0.8811, 'score_range': 0.4414, 'final_results': 10}","{'retrieval_time_s': 8.31, 'generation_time_s': 6.871, 'total_time_s': 15.185, 'input_tokens': 4240, 'output_tokens': 208, 'total_tokens': 4448, 'throughput_tokens_per_second': 292.92, 'start_time': 1755064496.860846, 'end_time': 1755064512.046015}",False
Dell 2025年預計出貨量是多少？,"根據DIGITIMES 2025年5月報告，Dell 2025年預計出貨高階AI伺服器116,600台。",high,"['Document 1 (Slide 7)', 'Document 6 (Slide 10)']","Dell 2025年高階AI伺服器出貨量預估為116,600台，數據來源為DIGITIMES 2025年5月報告，且多處文件數據一致，可信度高。","{'avg_score': 0.4163, 'max_score': 0.8528, 'score_range': 0.7098, 'final_results': 10}","{'retrieval_time_s': 11.283, 'generation_time_s': 5.325, 'total_time_s': 16.628, 'input_tokens': 4452, 'output_tokens': 36, 'total_tokens': 4488, 'throughput_tokens_per_second': 269.91, 'start_time': 1755070718.9839602, 'end_time': 1755070735.6117702}",False
AI server 企業型用戶大概可以分成幾種 ? 這幾種各自佔整體客戶比例為何 ?,AI伺服器的企業型用戶大致可分為四種：北美大型雲端業者、中系雲端業者、企業客戶及其他。2025年這些用戶各自佔整體高階AI伺服器客戶的比例分別為：北美大型雲端業者約70.4%、企業客戶約20.3%、中系雲端業者約8.0%、其他約1.3%。,high,['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 5)'],企業型AI伺服器用戶主要分為北美大型雲端業者、中系雲端業者、企業客戶及其他四種，2025年北美大型雲端業者佔比最高達70.4%，企業客戶佔20.3%，中系雲端業者及其他分別為8.0%及1.3%。,"{'avg_score': 0.4828, 'max_score': 0.8706, 'score_range': 0.5832, 'final_results': 10}","{'retrieval_time_s': 12.898, 'generation_time_s': 5.482, 'total_time_s': 18.385, 'input_tokens': 4179, 'output_tokens': 107, 'total_tokens': 4286, 'throughput_tokens_per_second': 233.12, 'start_time': 1755072136.430959, 'end_time': 1755072154.81614}",False
2025 年預計 AI server 出貨達幾台 ?,"根據DIGITIMES 2025年5月報告，2025年全球AI伺服器出貨量預計達1,810,900台（181萬台）。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 4)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 1)']","2025年全球AI伺服器出貨量預計為1,810,900台（181萬台），此數據來自DIGITIMES 2025年5月報告中Slide 4的Excel表格數據，為最直接且權威的預測。","{'avg_score': 0.729, 'max_score': 0.8882, 'score_range': 0.3049, 'final_results': 10}","{'retrieval_time_s': 10.208, 'generation_time_s': 7.786, 'total_time_s': 18.008, 'input_tokens': 4160, 'output_tokens': 41, 'total_tokens': 4201, 'throughput_tokens_per_second': 233.28, 'start_time': 1755072176.087816, 'end_time': 1755072194.096012}",False
在全球前十大 AI 高階伺服器客戶中，哪一間客戶的 2025 成長率是最高的，為什麼？,"在全球前十大AI高階伺服器客戶中，Oracle在2025年的成長率最高，達422%。這主要是因為Oracle受惠於Stargate計畫，推動其高階AI伺服器出貨量從2023年的5,000台大幅增加至2025年的130,500台，成長動能顯著優於其他客戶。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 6)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']",2025年全球前十大高階AI伺服器客戶中，Oracle的成長率最高，達422%。主要因其受惠於Stargate計畫，推動出貨大幅增加，從2023年的5千台增至2025年的130.5千台，遠超其他客戶。,"{'avg_score': 0.5595, 'max_score': 0.8883, 'score_range': 0.5903, 'final_results': 10}","{'retrieval_time_s': 17.407, 'generation_time_s': 9.787, 'total_time_s': 27.21, 'input_tokens': 4181, 'output_tokens': 89, 'total_tokens': 4270, 'throughput_tokens_per_second': 156.93, 'start_time': 1755072219.487069, 'end_time': 1755072246.696873}",False
在 OEM 業者表現中，哪一間在2025年間是表現最好的 ? 原因是什麼 ?,"在OEM業者中，Dell於2025年表現最佳。主要原因是其出貨量從2023年的6,000台大幅成長至116,600台（11萬6千6百台），年增率達187.9%。Dell受惠於Tier 2雲端業者的大量訂單，並搭上NVIDIA高階AI伺服器供應鏈的成長趨勢，成為OEM業者中表現最優秀的品牌。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 7)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']",Dell在2025年高階AI伺服器OEM業者中出貨量與年增率最高，且官方結語明確稱其表現最佳，原因是受惠於Tier 2雲端業者大單及NVIDIA高階AI伺服器供應鏈成長。,"{'avg_score': 0.495, 'max_score': 0.8629, 'score_range': 0.7263, 'final_results': 10}","{'retrieval_time_s': 10.568, 'generation_time_s': 15.891, 'total_time_s': 26.478, 'input_tokens': 4239, 'output_tokens': 109, 'total_tokens': 4348, 'throughput_tokens_per_second': 164.21, 'start_time': 1755072273.7312078, 'end_time': 1755072300.2090728}",False
Dell 2025年預計出貨量是多少？,"根據DIGITIMES 2025年報告，Dell 2025年預計出貨高階AI伺服器約116,600台（116,600台）。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 7)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 6)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 10)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']","Dell 2025年高階AI伺服器出貨量預估為116,600台，數據來自DIGITIMES 2025年報告中多處一致數據，信心水準高。","{'avg_score': 0.4513, 'max_score': 0.8528, 'score_range': 0.7019, 'final_results': 10}","{'retrieval_time_s': 8.199, 'generation_time_s': 9.438, 'total_time_s': 17.652, 'input_tokens': 4372, 'output_tokens': 40, 'total_tokens': 4412, 'throughput_tokens_per_second': 249.95, 'start_time': 1755072373.086087, 'end_time': 1755072390.7377422}",False
TSMC的營收是多少？,"TSMC 2024年合併營收為2,894,307,699,000元新台幣（約2兆8千9百4十3億零7百萬）。",high,['tsmc_2024_yearly report.pdf (Page 64)'],"TSMC 2024年合併營收為2,894,307,699,000元新台幣，數據來自2024年度報告的合併財務表，為最權威且精確的數字。","{'avg_score': 0.3436, 'max_score': 0.8673, 'score_range': 0.7027, 'final_results': 10}","{'retrieval_time_s': 8.939, 'generation_time_s': 5.593, 'total_time_s': 14.541, 'input_tokens': 21512, 'output_tokens': 43, 'total_tokens': 21555, 'throughput_tokens_per_second': 1482.31, 'start_time': 1755072545.486478, 'end_time': 1755072560.027968}",False
AI server 企業型用戶大概可以分成幾種 ? 這幾種各自佔整體客戶比例為何 ?,"2025年高階AI伺服器企業型用戶主要可分為四種：
1. 北美大型雲端業者，佔比約70.4%
2. 企業客戶，佔比約20.3%
3. 中系雲端業者，佔比約8.0%
4. 其他，佔比約1.3%
整體來看，北美大型雲端業者仍為最大客戶群，但企業客戶及中系雲端業者的比例也顯著，顯示市場客戶結構多元。",high,['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 5)'],2025年高階AI伺服器企業型用戶可分為四種，北美大型雲端業者佔70.4%，企業客戶佔20.3%，中系雲端業者佔8.0%，其他佔1.3%。此分類及比例來自DIGITIMES 2025年5月報告，數據可信且反映市場多元化趨勢。,"{'avg_score': 0.4827, 'max_score': 0.8706, 'score_range': 0.5833, 'final_results': 10}","{'retrieval_time_s': 18.65, 'generation_time_s': 9.176, 'total_time_s': 27.843, 'input_tokens': 4179, 'output_tokens': 135, 'total_tokens': 4314, 'throughput_tokens_per_second': 154.94, 'start_time': 1755073289.298503, 'end_time': 1755073317.141373}",False
2025 年預計 AI server 出貨達幾台 ?,"2025年全球AI伺服器預計出貨量將達1,810,900台（181萬台），其中高階AI伺服器約1,087,900台。此數據來自DIGITIMES 2025年5月報告，具有高度可信度。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 1)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 4)']","2025年全球AI伺服器出貨量預計達1,810,900台（181萬台），其中高階AI伺服器約1,087,900台，數據來自DIGITIMES 2025年5月報告，可信度高。","{'avg_score': 0.7219, 'max_score': 0.8882, 'score_range': 0.305, 'final_results': 10}","{'retrieval_time_s': 11.683, 'generation_time_s': 5.767, 'total_time_s': 17.467, 'input_tokens': 4160, 'output_tokens': 66, 'total_tokens': 4226, 'throughput_tokens_per_second': 241.95, 'start_time': 1755073335.287019, 'end_time': 1755073352.7537541}",False
Dell 2025年預計出貨量是多少？,"根據DIGITIMES 2025年5月報告，Dell 2025年高階AI伺服器預計出貨量為116,600台（11萬6千6百台）。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 7)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']","Dell 2025年高階AI伺服器出貨量預估為116,600台，數據來自DIGITIMES 2025年5月報告中品牌商出貨量預估，可信度高。","{'avg_score': 0.4509, 'max_score': 0.8528, 'score_range': 0.7067, 'final_results': 10}","{'retrieval_time_s': 14.265, 'generation_time_s': 7.603, 'total_time_s': 21.89, 'input_tokens': 4173, 'output_tokens': 46, 'total_tokens': 4219, 'throughput_tokens_per_second': 192.73, 'start_time': 1755073528.726795, 'end_time': 1755073550.617032}",False
--help,您輸入的「--help」為指令請求，但本系統主要協助解讀TSMC財務報告及相關分析，請您提供具體問題或需求，我將協助您進行詳細解讀與分析。,high,[],用戶輸入的「--help」為指令請求，但上下文為TSMC年報內容，缺乏相關指令說明資料，無法直接回答。建議用戶提供具體問題以利協助。,"{'avg_score': 0.4853, 'max_score': 0.7586, 'score_range': 0.63, 'final_results': 10}","{'retrieval_time_s': 21.87, 'generation_time_s': 5.743, 'total_time_s': 27.634, 'input_tokens': 26458, 'output_tokens': 53, 'total_tokens': 26511, 'throughput_tokens_per_second': 959.36, 'start_time': 1755074133.990269, 'end_time': 1755074161.624192}",False
What is the AI server shipment forecast for 2025?,"根據DIGITIMES 2025年5月報告，2025年全球AI伺服器出貨量預計達1,810,900台（181萬零九百台），其中高階AI伺服器出貨量約為1,087,900台（108萬7千9百台），整體出貨量突破180萬台大關，高階機種佔比持續提升，顯示市場需求正向高階產品集中。",high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 4)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']","2025年全球AI伺服器預計出貨1,810,900台，其中高階AI伺服器佔1,087,900台，整體出貨量突破180萬台，且高階機種佔比持續增加，顯示市場需求向高階產品集中。","{'avg_score': 0.7695, 'max_score': 0.8787, 'score_range': 0.2356, 'final_results': 10}","{'retrieval_time_s': 14.043, 'generation_time_s': 6.285, 'total_time_s': 20.347, 'input_tokens': 4083, 'output_tokens': 106, 'total_tokens': 4189, 'throughput_tokens_per_second': 205.87, 'start_time': 1755074271.8704069, 'end_time': 1755074292.21783}",False
在全球前十大 AI 高階伺服器客戶中，哪一間客戶的 2025 成長率是最高的，為什麼？,在全球前十大AI高階伺服器客戶中，Oracle於2025年的成長率最高，達4.22倍（422%）。這主要是因為Oracle積極與OpenAI合作，並受惠於其Stargate計畫推動企業AI伺服器需求大幅成長，使其採購量從2023年的5千台大幅提升至2025年的130.5千台，成為成長動力最強的客戶。,high,"['無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 6)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Slide 11)']",2025年全球前十大高階AI伺服器客戶中，Oracle以4.22倍的年增率成長最高，主要因其與OpenAI合作及Stargate計畫推動企業AI伺服器需求大幅提升。,"{'avg_score': 0.6144, 'max_score': 0.8896, 'score_range': 0.5681, 'final_results': 10}","{'retrieval_time_s': 14.826, 'generation_time_s': 8.156, 'total_time_s': 23.02, 'input_tokens': 4359, 'output_tokens': 107, 'total_tokens': 4466, 'throughput_tokens_per_second': 194.0, 'start_time': 1755074889.80065, 'end_time': 1755074912.820935}",False
1Q23 net income,"根據現有資料，台積電2023年第一季淨利數字未直接揭露，且Excel季度資料中無相關財務數據，僅有2023全年淨利約為838,497,664,000元(約8385億)；建議查閱台積電官方2023年第一季財報以取得準確淨利數字。",high,"['tsmc_2024_yearly report.pdf (Page 64)', 'excel_FS-Consolidated_1Q25.xls Sheet: Quarterly (IS)']",現有資料中無2023年第一季淨利具體數據，Excel季度表非財務數據，年度報告僅提供全年淨利，故無法精確回答1Q23淨利，建議查閱官方2023年第一季財報。,"{'avg_score': 0.3485, 'max_score': 0.8516, 'score_range': 0.7162, 'final_results': 10}","{'retrieval_time_s': 10.147, 'generation_time_s': 5.443, 'total_time_s': 15.596, 'input_tokens': 34207, 'output_tokens': 87, 'total_tokens': 34294, 'throughput_tokens_per_second': 2198.86, 'start_time': 1755075091.602921, 'end_time': 1755075107.1991858}",False
How did TSMC’s annual revenue and net income evolve over the last 3–5 years?,"根據TSMC 2024年年報資料，2024年合併營收為2,894,307,699,000元（約2兆8千9百億），較2023年2,161,735,841,000元（約2兆1千6百億）成長34%；淨利為1,172,431,759,000元（約1兆1千7百億），較2023年837,767,517,000元（約8千3百億）成長40%。由於缺乏2022年及以前的具體數據，無法完整呈現3至5年完整趨勢，但近兩年數據顯示TSMC營收與淨利均有顯著成長，反映公司在半導體產業持續擴張與獲利能力提升。",high,"['tsmc_2024_yearly report.pdf (Page 64)', 'tsmc_2024_yearly report.pdf (Page 63)', 'tsmc_2024_yearly report.pdf (Page 65)']","根據2024年年報，TSMC 2024年合併營收為2,894,307,699千元，較2023年2,161,735,841千元成長34%；淨利為1,172,431,759千元，較2023年837,767,517千元成長40%。因缺乏更早年度數據，無法完整呈現3-5年趨勢，但近兩年數據顯示營收與淨利顯著成長，反映公司營運與獲利能力強勁。","{'avg_score': 0.3822, 'max_score': 0.8156, 'score_range': 0.6382, 'final_results': 10}","{'retrieval_time_s': 17.613, 'generation_time_s': 14.331, 'total_time_s': 31.951, 'input_tokens': 26695, 'output_tokens': 192, 'total_tokens': 26887, 'throughput_tokens_per_second': 841.52, 'start_time': 1755075182.1365068, 'end_time': 1755075214.087136}",False
"From 2020-2024, What’s the trend in gross margin—are there signs of pressure or expansion, especially when new nodes are introduced?",從2020年至2024年，TSMC的毛利率呈現穩定擴張趨勢。2024年合併毛利率為56.1%，較2023年的54.4%提升約1.7個百分點。毛利率提升主要來自先進製程（7奈米及更先進節點）營收比重從41%提升至69%，以及製程技術進步與良率提升。雖然新節點如3奈米及2奈米導入初期帶來一定成本壓力，但這些壓力被產能利用率提高、規模經濟及匯率有利因素抵銷，整體毛利率不但未受壓縮，反而有所擴張。整體而言，TSMC在新節點導入期間成功維持並提升毛利率，無明顯毛利率下滑的跡象。,high,"['tsmc_2024_yearly report.pdf (Page 64)', 'tsmc_2024_yearly report.pdf (Page 82)', 'tsmc_2024_yearly report.pdf (Page 51)']",TSMC 2020至2024年間毛利率呈現穩定擴張，2024年毛利率56.1%較2023年54.4%提升，主要受益於先進製程比重提升與製程技術進步。新節點（如3奈米、2奈米）導入初期成本壓力被良率提升及規模經濟抵銷，整體毛利率無明顯下滑跡象，反映公司持續維持毛利擴張趨勢。,"{'avg_score': 0.2746, 'max_score': 0.7061, 'score_range': 0.5652, 'final_results': 10}","{'retrieval_time_s': 9.751, 'generation_time_s': 15.725, 'total_time_s': 25.496, 'input_tokens': 24029, 'output_tokens': 212, 'total_tokens': 24241, 'throughput_tokens_per_second': 950.77, 'start_time': 1755075386.808397, 'end_time': 1755075412.304702}",False
How many 12-inch wafers do tsmc ship in 2024 ? And How is that compared to 2023 ? ,根據提供的TSMC 2024年年報資料，未找到明確的12吋晶圓出貨數量數據，因此無法提供2024年12吋晶圓的出貨量及與2023年的比較。文件中主要呈現技術研發、客戶結構及供應鏈採購金額，未包含具體晶圓片數。,high,"['tsmc_2024_yearly report.pdf (Page 51, 55)', 'tsmc_2024_yearly report.pdf (Page 5-10)']",文件中未直接提供TSMC 2023及2024年12吋晶圓出貨量數據，僅有相關技術與採購金額資訊，無法精確回答出貨量及年度比較問題。,"{'avg_score': 0.1814, 'max_score': 0.1931, 'score_range': 0.0229, 'final_results': 7}","{'retrieval_time_s': 6.775, 'generation_time_s': 8.582, 'total_time_s': 15.361, 'input_tokens': 9245, 'output_tokens': 88, 'total_tokens': 9333, 'throughput_tokens_per_second': 607.56, 'start_time': 1755075461.491625, 'end_time': 1755075476.8529449}",False
What is the revenue distribution by process node in 2024?,"2024年台積電晶圓收入中，7奈米及更先進製程占比69%，約1兆9千9百億新台幣（1,996,066,311,310元），其餘製程（包含10奈米、16FFC、28奈米等）占31%，約8千9百億新台幣（898,241,387,690元）。其他製程節點的具體收入分布未在年報中明確揭露。",high,"['tsmc_2024_yearly report.pdf (Page 82)', 'tsmc_2024_yearly report.pdf (Page 64)']",2024年TSMC晶圓收入中，7nm及更先進製程佔69%，約1兆9千9百億新台幣，其他製程佔31%，約8千9百億新台幣。具體其他製程節點收入未明確披露。,"{'avg_score': 0.2819, 'max_score': 0.7707, 'score_range': 0.6318, 'final_results': 10}","{'retrieval_time_s': 9.547, 'generation_time_s': 9.423, 'total_time_s': 18.975, 'input_tokens': 28064, 'output_tokens': 112, 'total_tokens': 28176, 'throughput_tokens_per_second': 1484.94, 'start_time': 1755075543.127536, 'end_time': 1755075562.102049}",False
12吋晶圓,"TSMC的12吋晶圓是公司核心製造平台，2024年四座12吋GIGAFAB®廠房（Fab 12, 14, 15, 18）合計產能超過12,740,000片12吋晶圓，支援從0.13微米至3奈米等多種先進及成熟製程技術。這些廠房由中央管理系統協調運作，確保生產品質穩定與彈性，並加速良率提升和量產時間縮短。2024年，TSMC亦在新竹及高雄設立2奈米先進製造廠房，並擴充嘉義及台南的先進封裝能力，進一步強化12吋晶圓的製造與封裝能力，維持其全球半導體代工領導地位。",high,"['tsmc_2024_yearly report.pdf (Page 104-105)', 'tsmc_2024_yearly report.pdf (Page 56)', 'tsmc_2024_yearly report.pdf (Page 50)']",TSMC 2024年年報明確指出，12吋晶圓是其主要製造平台，擁有超過1274萬片的產能，涵蓋多種先進製程技術，並由中央管理系統協調運作，確保品質與效率，且持續擴建先進製造與封裝設施以強化12吋晶圓生產能力。,"{'avg_score': 0.2196, 'max_score': 0.4082, 'score_range': 0.2814, 'final_results': 10}","{'retrieval_time_s': 6.748, 'generation_time_s': 14.135, 'total_time_s': 20.892, 'input_tokens': 25965, 'output_tokens': 204, 'total_tokens': 26169, 'throughput_tokens_per_second': 1252.57, 'start_time': 1755075599.549199, 'end_time': 1755075620.441468}",False
What is the R&D spending in 2024 ? What is the portion of R&D versus revenue ?,"2024年台積電的研發支出為63.61億美元，折合約1,940億新台幣（19,400,000,0000元）。研發支出佔2024年全年營收約7.1%。",high,"['tsmc_2024_yearly report.pdf (Page 36)', 'tsmc_2024_yearly report.pdf (Page 51)', 'tsmc_2024_yearly report.pdf (Page 64)']","2024年TSMC研發支出約為63.61億美元，折合約1,940億新台幣，佔全年營收約7.1%。此比例與財報中明確提及的7.1%一致，數據來源可靠且一致。","{'avg_score': 0.2529, 'max_score': 0.6966, 'score_range': 0.5596, 'final_results': 10}","{'retrieval_time_s': 9.481, 'generation_time_s': 6.92, 'total_time_s': 16.406, 'input_tokens': 28955, 'output_tokens': 57, 'total_tokens': 29012, 'throughput_tokens_per_second': 1768.36, 'start_time': 1755075657.384544, 'end_time': 1755075673.790737}",False
What is the total revenue of 2024 ?,"2024年台積電合併營收為2,894,307,699,000元新台幣（約2兆8千9百4十3億零7百萬零9千九百元），較2023年成長34%。",high,"['tsmc_2024_yearly report.pdf (Page 64)', 'tsmc_2024_yearly report.pdf (Page 63)']","2024年TSMC合併營收為2,894,307,699,000元新台幣，較2023年成長34%，數據來自官方年度合併財務報表，可信度高。","{'avg_score': 0.3014, 'max_score': 0.8509, 'score_range': 0.7166, 'final_results': 10}","{'retrieval_time_s': 8.245, 'generation_time_s': 8.093, 'total_time_s': 16.343, 'input_tokens': 28616, 'output_tokens': 57, 'total_tokens': 28673, 'throughput_tokens_per_second': 1754.48, 'start_time': 1755075789.51497, 'end_time': 1755075805.857728}",False
What is the 2024 EPS ?,台積電2024年基本每股盈餘(EPS)約為新台幣40元，較2023年成長約40%。此數據反映公司淨利大幅提升，顯示經營績效穩健成長。,high,"['tsmc_2024_yearly report.pdf (Page 64)', 'tsmc_2024_yearly report.pdf (Page 37)', 'tsmc_2024_yearly report.pdf (Page 30)']",根據TSMC 2024年合併財報淨利及股本數據，2024年基本每股盈餘約為新台幣40元，淨利較2023年成長約40%。此數據來自2024年合併財報主要財務指標，可信度高。,"{'avg_score': 0.3415, 'max_score': 0.7653, 'score_range': 0.6292, 'final_results': 10}","{'retrieval_time_s': 10.385, 'generation_time_s': 9.307, 'total_time_s': 19.696, 'input_tokens': 35570, 'output_tokens': 59, 'total_tokens': 35629, 'throughput_tokens_per_second': 1808.92, 'start_time': 1755075827.37483, 'end_time': 1755075847.071112}",False
2023年第一季的毛利是多少？,根據提供資料，2023年第一季的毛利數字未被披露，無法提供該季毛利的具體數字。,high,"['tsmc_2024_yearly report.pdf (Page 64)', 'tsmc_2024_yearly report.pdf (Page 63)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Page 6)', '無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP.pptx (Page 7)']",2023年第一季毛利數據未於提供的年度合併或未合併財務報表中披露，且無季度分解資料，因此無法提供該季毛利數字。,"{'avg_score': 0.2675, 'max_score': 0.8325, 'score_range': 0.7084, 'final_results': 8}","{'retrieval_time_s': 7.825, 'generation_time_s': 6.596, 'total_time_s': 14.44, 'input_tokens': 26993, 'output_tokens': 34, 'total_tokens': 27027, 'throughput_tokens_per_second': 1871.71, 'start_time': 1755076102.71939, 'end_time': 1755076117.159103}",False
台積電2024年的營收和成本結構是什麼？,"台積電2024年合併營收為2,894,307,699,000元（約2兆8千9百億新台幣），成本為1,269,954,135,000元（約1兆2千7百億新台幣）。營收較2023年成長34%，成本成長29%。營收增加主要來自平均銷售價格上升、晶圓出貨量增加及匯率變動帶來的有利影響；成本增加則主要因銷售增加。整體成本結構與營收成長趨勢相符，反映公司營運效益提升。",high,['tsmc_2024_yearly report.pdf (Page 64)'],台積電2024年合併營收約2兆8千9百億新台幣，成本約1兆2千7百億新台幣，營收與成本均較2023年明顯成長，主因為銷售價格、出貨量及匯率變動影響，成本增加主要因銷售增加，整體成本結構合理且符合營收成長趨勢。,"{'avg_score': 0.3334, 'max_score': 0.8568, 'score_range': 0.7157, 'final_results': 10}","{'retrieval_time_s': 12.365, 'generation_time_s': 9.718, 'total_time_s': 22.102, 'input_tokens': 23303, 'output_tokens': 147, 'total_tokens': 23450, 'throughput_tokens_per_second': 1061.0, 'start_time': 1755076165.923093, 'end_time': 1755076188.0249531}",False
台積電2024年營收成長的主要原因是什麼？,台積電2024年營收成長的主要原因是平均銷售價格上升、晶圓出貨量增加，以及外匯匯率變動帶來的有利影響。這三者共同推動營收較2023年成長34%。,high,['tsmc_2024_yearly report.pdf (Page 64)'],台積電2024年營收成長34%，主要因平均銷售價格提升、晶圓出貨量增加及外匯匯率有利影響所致，這三項因素是推動營收成長的關鍵。,"{'avg_score': 0.3535, 'max_score': 0.6466, 'score_range': 0.5081, 'final_results': 10}","{'retrieval_time_s': 10.675, 'generation_time_s': 7.004, 'total_time_s': 17.702, 'input_tokens': 24699, 'output_tokens': 62, 'total_tokens': 24761, 'throughput_tokens_per_second': 1398.78, 'start_time': 1755076495.643308, 'end_time': 1755076513.345195}",False
台積電的公司治理結構是什麼？,"台積電的公司治理結構以董事會為核心，董事會負責監督管理層、制定公司策略及確保法規遵循。董事會下設三個主要委員會：
1. 審計與風險委員會，負責財務報告、內部控制及風險管理監督。
2. 薪酬與人力發展委員會，負責董事及高階主管薪酬政策與繼任規劃。
3. 提名、公司治理與永續發展委員會，負責董事選任及公司治理相關事務。
此外，董事會任命專職公司治理主管，協助董事會及各委員會運作及法規遵循。董事會成員具多元專業背景，並定期進行績效自評，整體治理架構完善且運作有效，符合台灣及國際相關規範。",high,"['tsmc_2024_yearly report.pdf (Page 25)', 'tsmc_2024_yearly report.pdf (Page 26)', 'tsmc_2024_yearly report.pdf (Page 31)', 'tsmc_2024_yearly report.pdf (Page 35)']",台積電董事會為公司治理核心，設有審計與風險委員會、薪酬與人力發展委員會、提名及公司治理委員會，並任命專職公司治理主管協助運作。董事會成員具多元專業背景，並定期自評績效。公司治理制度完善，內控系統有效，強調誠信與法規遵循，整體治理結構符合國內外規範，運作良好。,"{'avg_score': 0.5292, 'max_score': 0.7611, 'score_range': 0.5617, 'final_results': 10}","{'retrieval_time_s': 9.01, 'generation_time_s': 13.187, 'total_time_s': 22.222, 'input_tokens': 42924, 'output_tokens': 212, 'total_tokens': 43136, 'throughput_tokens_per_second': 1941.16, 'start_time': 1755076542.33988, 'end_time': 1755076564.561646}",False
